prof.norm
10.81s of 11.26s total (96.00%)
Dropped 64 nodes (cum <= 0.06s)
      flat  flat%   sum%        cum   cum%
     5.18s 46.00% 46.00%      5.18s 46.00%  runtime.mach_semaphore_signal
     2.78s 24.69% 70.69%      2.78s 24.69%  runtime.mach_semaphore_wait
     1.43s 12.70% 83.39%      1.43s 12.70%  runtime.usleep
     0.27s  2.40% 85.79%      0.35s  3.11%  runtime.scanstack
     0.26s  2.31% 88.10%      0.26s  2.31%  runtime.mach_semaphore_timedwait
     0.13s  1.15% 89.25%      0.13s  1.15%  runtime/internal/atomic.Xadd
     0.12s  1.07% 90.32%      0.12s  1.07%  runtime.memclr
     0.11s  0.98% 91.30%      0.14s  1.24%  runtime.scanobject
     0.09s   0.8% 92.10%      0.09s   0.8%  runtime.memmove
     0.08s  0.71% 92.81%      0.08s  0.71%  runtime/internal/atomic.Cas64
     0.05s  0.44% 93.25%      0.26s  2.31%  runtime.sweepone
     0.04s  0.36% 93.61%      4.92s 43.69%  main.normalBuffs
     0.03s  0.27% 93.87%      0.11s  0.98%  runtime.(*mspan).sweep
     0.03s  0.27% 94.14%      0.07s  0.62%  runtime.gcFlushBgCredit
     0.03s  0.27% 94.40%      0.23s  2.04%  runtime.gcMark
     0.03s  0.27% 94.67%      0.48s  4.26%  runtime.lock
     0.02s  0.18% 94.85%      0.16s  1.42%  runtime.(*mcentral).grow
     0.02s  0.18% 95.03%      4.87s 43.25%  runtime.mallocgc
     0.02s  0.18% 95.20%      0.07s  0.62%  runtime.pcvalue
     0.02s  0.18% 95.38%      9.02s 80.11%  runtime.systemstack
     0.01s 0.089% 95.47%      0.31s  2.75%  runtime.(*mcache).nextFree.func1
     0.01s 0.089% 95.56%      0.30s  2.66%  runtime.(*mcentral).cacheSpan
     0.01s 0.089% 95.65%      0.06s  0.53%  runtime.(*mheap).alloc_m
     0.01s 0.089% 95.74%      3.36s 29.84%  runtime.findrunnable
     0.01s 0.089% 95.83%      1.41s 12.52%  runtime.gcDrain
     0.01s 0.089% 95.91%      0.09s   0.8%  runtime.gentraceback
     0.01s 0.089% 96.00%      0.44s  3.91%  runtime.markroot
         0     0% 96.00%      4.92s 43.69%  main.main
         0     0% 96.00%      0.10s  0.89%  runtime.(*gcWork).balance
         0     0% 96.00%      0.64s  5.68%  runtime.(*gcWork).get
         0     0% 96.00%      0.40s  3.55%  runtime.(*mcache).nextFree
         0     0% 96.00%      0.30s  2.66%  runtime.(*mcache).refill
         0     0% 96.00%      0.09s   0.8%  runtime.(*mheap).alloc
